# MEAN_SAMPLE_SIZE = 42038
# TOTAL_GENES = 18669
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_proge...          SET      79      0.20187     0.013105      0.10529     0.027609 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      99      0.12983    0.0094296     0.091697     0.078418 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      63    -0.096398   -0.0055906      0.10881      0.81216 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      45     0.055659    0.0027294      0.13924      0.34468 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      40     -0.19347   -0.0089458      0.15887      0.88833 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      24      0.26816    0.0096088      0.20154     0.091674 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      40    -0.081717   -0.0037786      0.15232      0.70418 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      41      0.23123     0.010825      0.14542     0.055921 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22      0.11065    0.0037963      0.19333      0.28355 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     154    0.0095441   0.00086327     0.066995      0.44336 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     107   -0.0044969  -0.00033947     0.076335      0.52349 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      51     -0.12516   -0.0065329      0.12013      0.85124 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     169     0.031444    0.0029782     0.062981       0.3088 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      33    -0.053025   -0.0022275      0.16586       0.6254 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      51     0.080301    0.0041915       0.1266      0.26295 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      64    -0.063181    -0.003693      0.10859      0.71966 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      52     -0.04116   -0.0021693      0.11966      0.63456 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      65   -0.0010153  -5.9803e-05      0.11748      0.50345 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     314      0.14792     0.019022     0.052624    0.0024738 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.23771     0.013676      0.12688     0.030512 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68      0.24799      0.01494      0.10946     0.011744 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67     0.099692    0.0059617      0.11147      0.18558 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51      0.17928     0.009358       0.1303     0.084426 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      64      0.12605    0.0073677      0.11189      0.12998 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      84      0.22212     0.014866     0.098999     0.012432 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      29      0.11357    0.0044729      0.16284      0.24277 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      54     0.057891    0.0031091      0.12356       0.3197 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      66      0.34041     0.020205      0.11402    0.0014176 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40      0.26317     0.012169        0.138     0.028268 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72      0.18484     0.011457      0.10343     0.036973 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55      0.15074      0.00817      0.12852      0.12043 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      83      0.11706    0.0077878     0.099477      0.11966 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      54      0.23811     0.012788      0.12296      0.02641 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      27    0.0073869   0.00028073        0.166      0.48225 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      47     0.072006    0.0036084      0.15046      0.31612 Curated_gene_sets:kegg_autoimmune_thyroid_disease
